Date	Sno	Width	Height
2017.03.14 01:04:59.131	2419289824	63	63
2017.03.14 01:04:59.148	2420035936	63	127
2017.03.14 01:04:59.165	2420436468	63	63
2017.03.14 01:04:59.181	2420591703	63	127
2017.03.14 01:04:59.198	2421748815	63	63
2017.03.14 01:04:59.216	2422509484	63	63
2017.03.14 01:04:59.232	2422564121	81	163
2017.03.14 01:04:59.249	2423319440	63	63
2017.03.14 01:04:59.266	2426400776	81	163
2017.03.14 01:04:59.283	2427644290	63	127
2017.03.14 01:04:59.299	2429529399	63	63
2017.03.14 01:04:59.315	2430416251	63	127
2017.03.14 01:04:59.331	2430738565	63	127
2017.03.14 01:04:59.349	2430907811	63	63
2017.03.14 01:04:59.366	2430926790	63	63
2017.03.14 01:04:59.382	2430989353	63	127
2017.03.14 01:04:59.399	2431290067	77	110
2017.03.14 01:04:59.417	2431495738	63	127
2017.03.14 01:04:59.434	2432180038	63	63
2017.03.14 01:04:59.450	2432331634	63	63
2017.03.14 01:04:59.467	2432607911	63	63
2017.03.14 01:04:59.484	2432742064	63	63
2017.03.14 01:04:59.500	2433735268	63	63
2017.03.14 01:04:59.518	2433807340	63	63
2017.03.14 01:04:59.534	2436188473	61	82
2017.03.14 01:04:59.551	2437609126	63	63
2017.03.14 01:04:59.568	2437948555	63	127
2017.03.14 01:04:59.585	2438419499	81	163
2017.03.14 01:04:59.602	2439545586	63	63
2017.03.14 01:04:59.619	2439922470	63	127
2017.03.14 01:04:59.636	2440240234	63	63
2017.03.14 01:04:59.653	2441636332	63	127
2017.03.14 01:04:59.670	2445625871	63	63
2017.03.14 01:04:59.687	2445643462	63	63
2017.03.14 01:04:59.703	2445927314	81	163
2017.03.14 01:04:59.720	2446324965	63	63
2017.03.14 01:04:59.736	2447080061	63	63
2017.03.14 01:04:59.752	2447103775	63	63
2017.03.14 01:04:59.770	2447865967	63	63
2017.03.14 01:04:59.787	2448134073	63	63
2017.03.14 01:04:59.804	2448248852	63	63
2017.03.14 01:04:59.820	2449267763	63	127
2017.03.14 01:04:59.836	2450140894	297	146
2017.03.14 01:04:59.853	2450462453	63	127
2017.03.14 01:04:59.870	2450566916	55	123
2017.03.14 01:04:59.888	2452294263	81	163
2017.03.14 01:04:59.905	2454417768	63	63
2017.03.14 01:04:59.922	2454734509	39	39
2017.03.14 01:04:59.939	2457736647	63	63
2017.03.14 01:04:59.955	2457818448	63	127
2017.03.14 01:04:59.973	2457891177	63	127
2017.03.14 01:04:59.990	2458503773	63	63
2017.03.14 01:05:00.006	2459690120	81	163
2017.03.14 01:05:00.023	2459934250	63	63
2017.03.14 01:05:00.040	2460029186	63	63
2017.03.14 01:05:00.057	2461237602	81	163
2017.03.14 01:05:00.074	2461699514	81	163
2017.03.14 01:05:00.092	2461876471	63	63
2017.03.14 01:05:00.108	2462638855	63	63
2017.03.14 01:05:00.124	2462707378	63	63
2017.03.14 01:05:00.141	2463067512	63	127
2017.03.14 01:05:00.158	2463202280	63	63
2017.03.14 01:05:00.175	2463824009	63	127
2017.03.14 01:05:00.192	2464378373	63	63
2017.03.14 01:05:00.209	2468567291	63	63
2017.03.14 01:05:00.226	2468833664	81	163
2017.03.14 01:05:00.243	2469873958	63	127
2017.03.14 01:05:00.260	2470700488	81	163
2017.03.14 01:05:00.277	2471187653	63	63
2017.03.14 01:05:00.293	2471364560	63	127
2017.03.14 01:05:00.310	2471467027	63	63
2017.03.14 01:05:00.327	2471877457	63	63
2017.03.14 01:05:00.344	2472870661	63	63
2017.03.14 01:05:00.361	2472942733	63	63
2017.03.14 01:05:00.378	2473150339	94	142
2017.03.14 01:05:00.394	2477083948	63	127
2017.03.14 01:05:00.411	2477898063	94	142
2017.03.14 01:05:00.427	2478974088	63	127
2017.03.14 01:05:00.444	2483712048	63	127
2017.03.14 01:05:00.461	2484178946	94	142
2017.03.14 01:05:00.477	2489583252	94	142
2017.03.14 01:05:00.494	2491885497	63	63
2017.03.14 01:05:00.510	2496096511	63	127
2017.03.14 01:05:00.527	2496563834	63	99
2017.03.14 01:05:00.544	2496953841	63	127
2017.03.14 01:05:00.561	2497933211	63	63
2017.03.14 01:05:00.578	2498189101	63	63
2017.03.14 01:05:00.595	2500355564	63	63
2017.03.14 01:05:00.612	2500789688	63	63
2017.03.14 01:05:00.628	2502538113	63	127
2017.03.14 01:05:00.646	2502877488	63	127
2017.03.14 01:05:00.664	2503653692	63	63
2017.03.14 01:05:00.680	2504356632	99	169
2017.03.14 01:05:00.698	2504937116	63	63
2017.03.14 01:05:00.716	2505085843	81	163
2017.03.14 01:05:00.732	2507317181	63	63
2017.03.14 01:05:00.749	2508502738	63	63
2017.03.14 01:05:00.766	2508736368	63	63
2017.03.14 01:05:00.782	2509009351	63	127
2017.03.14 01:05:00.799	2510088668	63	63
2017.03.14 01:05:00.816	2510442130	63	127
2017.03.14 01:05:00.833	2510602420	63	63
2017.03.14 01:05:00.850	2510932953	63	63
2017.03.14 01:05:00.867	2511012850	63	63
2017.03.14 01:05:00.884	2512006054	63	63
2017.03.14 01:05:00.903	2514946327	63	63
2017.03.14 01:05:00.918	2515064988	63	127
2017.03.14 01:05:00.937	2515403117	63	63
2017.03.14 01:05:00.953	2516219341	63	127
2017.03.14 01:05:00.971	2516324739	63	63
2017.03.14 01:05:00.988	2517568117	63	127
2017.03.14 01:05:01.004	2519127323	63	127
2017.03.14 01:05:01.020	2519386034	487	425
2017.03.14 01:05:01.037	2520011983	63	63
2017.03.14 01:05:01.054	2522170886	81	163
2017.03.14 01:05:01.071	2522252250	63	127
2017.03.14 01:05:01.087	2522847441	63	127
2017.03.14 01:05:01.105	2523379219	63	127
2017.03.14 01:05:01.122	2523381246	63	63
2017.03.14 01:05:01.139	2524906380	63	127
2017.03.14 01:05:01.156	2524962514	63	63
2017.03.14 01:05:01.173	2525657162	63	63
2017.03.14 01:05:01.189	2528010994	63	63
2017.03.14 01:05:01.206	2529796630	63	63
2017.03.14 01:05:01.222	2530168278	63	63
2017.03.14 01:05:01.239	2530883769	63	63
2017.03.14 01:05:01.255	2531171338	63	63
2017.03.14 01:05:01.272	2531187835	63	63
2017.03.14 01:05:01.289	2531598265	63	63
2017.03.14 01:05:01.307	2531768720	63	127
2017.03.14 01:05:01.323	2532038734	488	43
2017.03.14 01:05:01.340	2532520703	63	63
2017.03.14 01:05:01.357	2532809108	63	127
2017.03.14 01:05:01.375	2532908119	79	79
2017.03.14 01:05:01.392	2533282895	63	63
2017.03.14 01:05:01.407	2534288806	63	63
2017.03.14 01:05:01.424	2534519129	63	63
2017.03.14 01:05:01.441	2535758694	63	63
2017.03.14 01:05:01.458	2536319748	63	127
2017.03.14 01:05:01.475	2536469672	63	63
2017.03.14 01:05:01.492	2536469673	63	63
2017.03.14 01:05:01.508	2536469674	63	63
2017.03.14 01:05:01.525	2536469675	63	63
2017.03.14 01:05:01.542	2536469676	63	63
2017.03.14 01:05:01.559	2536469677	63	63
2017.03.14 01:05:01.577	2536469678	63	63
2017.03.14 01:05:01.593	2536469679	63	63
2017.03.14 01:05:01.610	2536469680	63	63
2017.03.14 01:05:01.627	2536469704	63	63
2017.03.14 01:05:01.644	2536469705	63	63
2017.03.14 01:05:01.661	2536469706	63	63
2017.03.14 01:05:01.678	2536469707	63	63
2017.03.14 01:05:01.695	2536469708	63	63
2017.03.14 01:05:01.713	2536469709	63	63
2017.03.14 01:05:01.729	2537740786	63	127
2017.03.14 01:05:01.746	2539650491	63	63
2017.03.14 01:05:01.762	2540951716	94	142
2017.03.14 01:05:01.779	2542195321	63	127
2017.03.14 01:05:01.796	2543153575	63	63
2017.03.14 01:05:01.813	2547853470	63	127
2017.03.14 01:05:01.829	2548124306	63	63
2017.03.14 01:05:01.847	2548144744	63	127
2017.03.14 01:05:01.863	2548348133	63	63
2017.03.14 01:05:01.880	2548619208	63	63
2017.03.14 01:05:01.897	2549111699	81	163
2017.03.14 01:05:01.914	2549737813	63	63
2017.03.14 01:05:01.930	2549966750	63	127
2017.03.14 01:05:01.947	2550148243	63	63
2017.03.14 01:05:01.964	2550801893	63	127
2017.03.14 01:05:01.981	2551085794	99	169
2017.03.14 01:05:01.998	2551141447	63	63
2017.03.14 01:05:02.014	2551325785	63	63
2017.03.14 01:05:02.031	2553626167	63	127
2017.03.14 01:05:02.048	2553670235	63	63
2017.03.14 01:05:02.064	2554200381	63	127
2017.03.14 01:05:02.081	2554286801	81	163
2017.03.14 01:05:02.098	2555354734	63	127
2017.03.14 01:05:02.116	2555854434	63	127
2017.03.14 01:05:02.133	2556981481	63	63
2017.03.14 01:05:02.151	2558841123	47	143
2017.03.14 01:05:02.169	2560062517	63	63
2017.03.14 01:05:02.187	2560099267	63	127
2017.03.14 01:05:02.203	2561833338	63	63
2017.03.14 01:05:02.219	2563664307	63	63
2017.03.14 01:05:02.236	2564986554	63	63
2017.03.14 01:05:02.253	2565587191	63	127
2017.03.14 01:05:02.270	2566615091	63	63
2017.03.14 01:05:02.287	2567579188	63	63
2017.03.14 01:05:02.304	2567643321	63	127
2017.03.14 01:05:02.321	2568746451	81	163
2017.03.14 01:05:02.339	2568829098	63	63
2017.03.14 01:05:02.355	2569918859	63	127
2017.03.14 01:05:02.372	2570323228	63	63
2017.03.14 01:05:02.389	2570733658	63	63
2017.03.14 01:05:02.406	2570775482	63	127
2017.03.14 01:05:02.424	2572715668	63	63
2017.03.14 01:05:02.440	2572780632	63	63
2017.03.14 01:05:02.457	2573566218	63	63
2017.03.14 01:05:02.474	2576923591	63	127
2017.03.14 01:05:02.491	2577210713	63	127
2017.03.14 01:05:02.507	2577674763	81	163
2017.03.14 01:05:02.524	2577941479	63	63
2017.03.14 01:05:02.540	2579023004	63	63
2017.03.14 01:05:02.556	2579489832	63	63
2017.03.14 01:05:02.573	2579723070	63	63
2017.03.14 01:05:02.589	2582937097	63	63
2017.03.14 01:05:02.606	2583158447	63	63
2017.03.14 01:05:02.625	2585413885	63	127
2017.03.14 01:05:02.636	2587219267	63	63
2017.03.14 01:05:02.653	2588768459	63	63
2017.03.14 01:05:02.672	2588873206	63	63
2017.03.14 01:05:02.689	2588888323	63	63
2017.03.14 01:05:02.706	2589070620	63	63
2017.03.14 01:05:02.723	2589283636	63	63
2017.03.14 01:05:02.740	2590276840	63	63
2017.03.14 01:05:02.757	2591572724	63	127
2017.03.14 01:05:02.774	2593163299	81	163
2017.03.14 01:05:02.790	2593919666	63	63
2017.03.14 01:05:02.806	2594005641	63	63
2017.03.14 01:05:02.824	2594490127	63	127
2017.03.14 01:05:02.841	2594944828	63	63
2017.03.14 01:05:02.858	2594989827	63	127
2017.03.14 01:05:02.874	2595505596	63	63
2017.03.14 01:05:02.891	2595641843	63	63
2017.03.14 01:05:02.907	2596535677	63	63
2017.03.14 01:05:02.925	2598316653	63	63
2017.03.14 01:05:02.941	2600891575	63	127
2017.03.14 01:05:02.958	2600900722	63	63
2017.03.14 01:05:02.975	2601690172	63	127
2017.03.14 01:05:02.992	2603830128	81	163
2017.03.14 01:05:03.009	2605104334	94	142
2017.03.14 01:05:03.025	2605755780	63	63
2017.03.14 01:05:03.042	2608175932	81	163
2017.03.14 01:05:03.058	2608753093	94	142
2017.03.14 01:05:03.075	2609458621	63	63
2017.03.14 01:05:03.092	2609869051	63	63
2017.03.14 01:05:03.109	2609870772	219	99
2017.03.14 01:05:03.125	2610273112	219	99
2017.03.14 01:05:03.143	2611600982	63	127
2017.03.14 01:05:03.159	2613296851	63	63
